,date,close
785,2017-03-28,858.46
786,2017-03-29,876.438
787,2017-03-30,877.06
788,2017-03-31,890.35
789,2017-04-03,893.49
790,2017-04-04,908.538
791,2017-04-05,923.72
792,2017-04-06,917.19
793,2017-04-07,900.09
794,2017-04-10,908.51
795,2017-04-11,911.24
796,2017-04-12,904.09
797,2017-04-13,894.97
798,2017-04-17,902.38
799,2017-04-18,909.61
800,2017-04-19,910.5
801,2017-04-20,905.32
802,2017-04-21,903.65
803,2017-04-24,909.99
804,2017-04-25,909.48
805,2017-04-26,915.749
806,2017-04-27,921.86
807,2017-04-28,949.59
808,2017-05-01,954.4
809,2017-05-02,950.1
810,2017-05-03,946.0
811,2017-05-04,945.0
812,2017-05-05,940.79
813,2017-05-08,949.05
814,2017-05-09,957.89
815,2017-05-10,953.75
816,2017-05-11,950.29
817,2017-05-12,962.79
818,2017-05-15,963.15
819,2017-05-16,970.06
820,2017-05-17,960.396
821,2017-05-18,962.75
822,2017-05-19,968.92
823,2017-05-22,971.38
824,2017-05-23,975.2
825,2017-05-24,981.0
826,2017-05-25,999.0
827,2017-05-26,998.65
828,2017-05-30,1001.2
829,2017-05-31,1000.12
830,2017-06-01,998.99
831,2017-06-02,1008.48
832,2017-06-05,1013.21
833,2017-06-06,1016.5
834,2017-06-07,1010.25
835,2017-06-08,1013.61
836,2017-06-09,1012.99
837,2017-06-12,975.95
838,2017-06-13,984.5
839,2017-06-14,990.34
840,2017-06-15,965.73
841,2017-06-16,999.75
842,2017-06-19,1017.0
843,2017-06-20,1004.88
844,2017-06-21,1002.72
845,2017-06-22,1006.96
846,2017-06-23,1004.62
847,2017-06-26,1009.8
848,2017-06-27,998.8
849,2017-06-28,990.68
850,2017-06-29,987.56
851,2017-06-30,983.47
852,2017-07-03,974.49
853,2017-07-05,975.0
854,2017-07-06,974.4
855,2017-07-07,980.11
856,2017-07-10,999.439
857,2017-07-11,995.99
858,2017-07-12,1008.55
859,2017-07-13,1006.88
860,2017-07-14,1004.45
861,2017-07-17,1014.75
862,2017-07-18,1026.03
863,2017-07-19,1031.59
864,2017-07-20,1034.97
865,2017-07-21,1026.1
